Activity,Mapping
A,find out position requirements
B,create job posting
C,check formal requirements
D,reject application
E,invite to pre-screening
F,perform pre-screening via telephone
G,perform pre-screening via video call
H,assess initial performance
I,invite to basic live interviews
J,perform assessment interview
K,perform coding interview
L,assess midway performance
M,invite to advanced live interviews
N,perform manager interview
O,perform architecture/design interview
P,assess final performance
Q,send offer
R,negotiate salary
